Product Name,Original Price,Discounted price,Discount(%),Rating
NOVA NG 1153 Digital USB  Runtime: 160 Mins Trimmer for...,"3,299","1,299",60,4.2
PHILIPS BT3101/15  Runtime: 45 min Trimmer for Men,"1,495","1,189",20,4.3
Flipkart SmartBuy M4D12Q Runtime : 60 min Cordless USB ...,790,549,30,4.2
Orient Electric Fabri Press DIFP10BP 1000 W Dry Iron,990,525,46,4.3
Butterfly Rapid 4 Jar 750 watts 750 W Juicer Mixer Grin...,"5,499","2,699",50,4.1
PHILIPS BT3211/15  Runtime: 60 min Trimmer for Men,"1,895","1,599",15,4.4
PHILIPS BT3221/15  Runtime: 90 min Trimmer for Men,"2,395","1,899",20,4.4
PHILIPS BT1232/15  Runtime: 30 mins Trimmer for Men,945,849,10,4.4
HAVELLS bt5113c  Runtime: 120 min Trimmer for Men,"1,995",899,54,4.1
Sasimo 6 mm Automatic Personal Digital Weight Machine H...,"3,299",625,81,4.8
NOVA NHT 1073-00 USB  Runtime: 60 min Trimmer for Men,999,599,40,4.2
Butterfly Arrow 500 W Mixer Grinder ,"3,699","1,599",56,4
NOVA NHT 1053 USB  Runtime: 160 min Trimmer for Men,"2,195",749,65,4.1
BAJAJ Majesty DX 6 1000 W Dry Iron,920,575,37,4.2
NOVA NHT 1052 USB  Runtime: 90 min Trimmer for Men,"1,995",699,64,4.1
"GROFL Pubg Anti-Slip Thumb Sleeve, Slip-Proof Sweat-Pro...",799,137,82,3.8
Beardo PR3058/59 Runtime: 45 min Multi Purpose Trimmer ...,"2,240","1,099",50,4.2
NOVA Prime Series NHT 1085  Runtime: 45 min Trimmer for...,"1,695",649,61,4.1
PHILIPS OneBlade QP2525/10  Runtime: 45 min Trimmer for...,"2,199","1,675",23,4.3
Flipkart SmartBuy M4D12B Runtime : 60 min Cordless USB ...,750,549,26,4.2
"GROFL Pubg Anti-Slip Thumb Sleeve, Slip-Proof Sweat-Pro...",999,148,85,3.8
Butterfly Rapid Plus 750 W Mixer Grinder ,"6,499","2,999",53,4.3
realme RMH2016 Beard Trimmer Runtime: 120 mins Trimmer ...,"1,799","1,199",33,4.1
Dr. Morepen GLUCO ONE BG-03 50 Glucometer Strips,849,689,18,4.4
HOPZ Advance & Portable 8.5 inch LCD Re-Writing Paperle...,"1,263",265,79,3.9
PHILIPS HP8100/46 Hair Dryer,845,699,17,4.3
Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bot...,"1,499",699,53,4.3
"RRHR SALES Pubg Anti-Slip Thumb Sleeve, Slip-Proof Swea...",899,189,78,4.1
Nokia Media Streamer with Built- In Chromecast,"4,999","1,999",60,4.3
VGR V-055 Professional Hair Clipper Waterproof  Runtime...,"2,495",645,74,4.2
USHA EI 1602 1000 W Dry Iron,800,534,33,4.2
Prestige Aluminium Gas Lighter,135,109,19,4.3
Dr. Trust ,"3,200","1,099",65,4.2
Bajaj GX1 500 W Mixer Grinder,"3,850","1,999",48,4.2
AMB New Pair Breathable Mobile Finger Sleeve Press Trig...,399,99,75,4.1
BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4...,"1,995",750,62,4.5
VGR V-071 Original Professional Hair Clipper  Runtime: ...,"1,899",695,63,4.2
Flipkart SmartBuy Non-Stick 1100W Dry Iron,999,433,56,4.1
Pigeon Favourite IC 1800 W Induction Cooktop,"3,195","1,169",63,3.9
texla 1 gm TO 10 kg electronic kitchen scale,699,282,59,4.3
texla 1 gm TO 10 kg electronic kitchen scale,699,282,59,5
Mi 4A PRO 80 cm ,"19,999","15,999",20,1
Misfit by boAt T200  Runtime: 120 mins Trimmer for Men,"3,999","1,299",67,3.9
Dr. Morepen BG-03 Glucometer And 25 strips Glucometer,"1,164",520,55,5
Prestige Atlas Plus 750 W Juicer Mixer Grinder ,"6,295","2,999",52,4
Mi 4X 108 cm ,"34,999","28,999",17,4.8
Prestige PIC 20.0 1600 W Induction Cooktop,"2,895","1,649",43,5
Lifelong Power Pro - LLMG20 500 W Mixer Grinder ,"2,499","1,499",40,4
Syska HD1610 Hair Dryer,"1,179",649,44,4.4
Zilant 6 mm Automatic Personal Digital Weight Machine W...,"1,799",699,61,5
mobspy 3.5mm Clip Microphone For Youtube | Collar Mic f...,800,144,82,4
"GROFL Pubg Anti-Slip Thumb Sleeve, Slip-Proof Sweat-Pro...",999,164,83,4.2
PHILIPS BT1215  Runtime: 60 min Trimmer for Men,845,"1,195",55,4
Nova Silky Shine Hot And Cold Foldable NHP 8100 Hair Dr...,"4,000",379,57,5
Dr. Trust Goldline with Talking Guidance and 3 Color Hy...,"15,500","1,699",47,4.1
