Product Name,Original Price,Discounted price,Discount(%),Rating
Tata Sky 100% Original Universal ,599,211,64,4
Tata Sky 100% Original Universal With USER MANUAL & WAR...,699,223,68,4.1
Techfab Smart TV Remote Control Compatible for  Smart T...,499,219,56,4.2
Tata Sky Original Universal,599,209,65,3.9
Airtel Universal Digital Tv DTH 100% Original HD Record...,599,202,66,4
subton Electrical Board Extension with 4 USB & Plug soc...,499,349,30,3.7
salfro unversal multiplug for ac tv 3  Socket Extension...,"2,999","1,380",53,4.3
Elegant Casa Rectangular Extension Board with 8 Socket ...,999,475,52,4
Elegant Casa Extension Board with 4 Socket 1 Switch Uni...,999,510,48,4.4
Daikin 0.8 Ton 3 Star Split with PM 2.5 Filter AC with ...,"28,600","24,490",14,3.8
Dish TV Universal ,499,209,58,4.2
V-Guard Mini Crystal Supreme TV Voltage Stabilizer for ...,"2,290","1,690",26,3.8
Airtel DTH 100% Genuine HD Recording Universal ,449,215,52,3.9
Techfab Smart TV Remote Control Compatible for  Smart T...,499,219,56,3.9
Tata Sky 100% Original Universal Box ,499,207,58,4.5
Candes 0390-SS Voltage Stabilizer for LCD/LED TV Upto 4...,"2,000","1,221",38,4.1
Elegant Casa Universal 3+3 Socket Hanging Extension Boa...,750,510,32,4.2
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,345,65,3.9
MVN CLEANER LCD SCREEN CLEANER 200 ML CLEAN/FLAT NORMAL...,499,265,46,3.9
Candes A4170MS 4kVA for 1.5 Ton AC ,"2,500","1,677",32,4.2
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,395,60,3.8
Daikin 1.5 Ton 4 Star Split Inverter with PM 2.5 Filter...,"52,700","37,600",28,4.3
Airtel Airtel HD remote HD Set Top Box Remote With AAA ...,699,195,72,4.1
astigo compatible remote for i Smart TV Mi Remote Contr...,499,268,46,4.1
Microtek EM4160+ Digital Display For AC upto 1.5Ton ,"3,590","1,832",48,4
Tata Sky TataSky 100% Original remote with 2 Battery Ta...,699,215,69,4.2
Microtek EM4130+ Digital Display For AC upto 1.5Ton ,"5,690","3,299",42,4
VOLPRO UPTO 32'inch LED / LCD / SMART TV VOLTAGE STABIL...,"1,999",999,50,4.2
LipiWorld SA-D20 SA-D40 SA-D10 SA-WMS10 SA-WID7 Multime...,499,248,50,4.2
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,547,45,4
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,447,55,4.2
VOLPRO LED / LCD / SMART TV UPTO 55'INCH Voltage Stabli...,"2,499","1,199",52,4.2
Axxiria Axxiria 2 layer protection Waterproof-Dustproof...,999,399,60,5
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,347,65,5
Daikin 1.5 Ton 3 Star Split Inverter AC  - White,"50,300","34,790",30,3.9
VOLPRO Lcd / Led Tv / Smart TV Voltage Stablizer,"2,499","1,199",52,3
hybite  LCD Compatible with  Panasonic Remote Controlle...,699,280,59,3
